eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85150664956,,,,LEARNING-AUGMENTED DATA STREAM ALGORITHMS,cp,Conference Paper,Jiang T.,,Lehigh University,Bethlehem,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,8,0,,,,,
2-s2.0-85150664647,,,,MACER: ATTACK-FREE AND SCALABLE ROBUST TRAINING VIA MAXIMIZING CERTIFIED RADIUS,cp,Conference Paper,Zhai R.,,Peking University,Beijing,China,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,21,0,,,,,
2-s2.0-85150664519,,,,ES-MAML: SIMPLE HESSIAN-FREE META LEARNING,cp,Conference Paper,Song X.,,Google LLC,Mountain View,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,13,0,,,,,
2-s2.0-85150664312,,,,RESIDUAL ENERGY-BASED MODELS FOR TEXT GENERATION,cp,Conference Paper,Deng Y.,,Harvard University,Cambridge,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,32,0,,,,,
2-s2.0-85150664272,,,,EVOLUTIONARY POPULATION CURRICULUM FOR SCALING MULTI-AGENT REINFORCEMENT LEARNING,cp,Conference Paper,Long Q.,,CMU,Philadelphia,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,24,0,,,,,
2-s2.0-85150664269,,,,ATOMNAS: FINE-GRAINED END-TO-END NEURAL ARCHITECTURE SEARCH,cp,Conference Paper,Mei J.,,Johns Hopkins University,Baltimore,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,41,0,,,,,
2-s2.0-85150664263,,,,LITE TRANSFORMER WITH LONG-SHORT RANGE ATTENTION,cp,Conference Paper,Wu Z.,,Shanghai Jiao Tong University;Massachusetts Institute of Technology,Shanghai;Cambridge,China;United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,50,0,,,,,
2-s2.0-85150664032,,,,HARNESSING STRUCTURES FOR VALUE-BASED PLANNING AND REINFORCEMENT LEARNING,cp,Conference Paper,Yang Y.,,MIT Computer Science &amp; Artificial Intelligence Laboratory,Cambridge,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,5,0,,,,,
2-s2.0-85150663671,,,,WHY GRADIENT CLIPPING ACCELERATES TRAINING: A THEORETICAL JUSTIFICATION FOR ADAPTIVITY,cp,Conference Paper,Zhang J.,,Massachusetts Institute of Technology,Cambridge,United States,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,38,0,,,,,
2-s2.0-85150662991,,,,MODEL-AUGMENTED ACTOR-CRITIC: BACKPROPAGATING THROUGH PATHS,cp,Conference Paper,Anonymous ,,,,,,,,,2020-01-01,2020,"8th International Conference on Learning Representations, ICLR 2020",,21101142406,,Conference Proceeding,,,,,,,12,0,,,,,
